Class,Precision,Recall,F1Score,TVP,TFN,TFP,TVN
A,0.5882352941176471,0.5882352941176471,0.5882352941176471,0.5882352941176471,0.9333333333333333,0.06666666666666667,0.4117647058823529
B,0.6521739130434783,0.8333333333333334,0.7317073170731708,0.8333333333333334,0.9230769230769231,0.07692307692307693,0.16666666666666666
C,0.7692307692307693,0.6666666666666666,0.7142857142857142,0.6666666666666666,0.9347826086956522,0.06521739130434782,0.3333333333333333
D,0.8928571428571429,0.8771929824561403,0.8849557522123894,0.8771929824561403,0.9076923076923077,0.09230769230769231,0.12280701754385964
